tenure_months,tenure_segmentation,location,device_class,games_product,music_product,education_product,video_product,any_digital_product,all_digital_product,total_digital_product_used,call_center,use_myapp,total_product_utilisation,payment_method,monthly_purchase_thou_idr_,cltv_predicted_thou_idr_,total_spending,net_cltv_total_spending
52,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,136.6,6292.0,7100.0,-810.5
18,high,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Digital Wallet,123.7,6036.0,2226.0,3810.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.0,5324.0,91.0,5230.0
8,medium,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,96.9,5650.0,775.0,4870.0
10,medium,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Credit,58.3,5280.0,583.0,4696.0
24,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,98.94,2624.0,2374.0,249.1
1,low,Bandung,High End,Yes,No,No,No,1,0,1,No,No,1,Digital Wallet,95.7,3334.0,95.7,3238.0
4,medium,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,124.06,4780.0,496.2,4284.0
32,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,97.4,5336.0,3116.0,2220.0
5,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,104.75,7428.0,524.0,6904.0
38,high,Jakarta,Mid End,Yes,Yes,No,Yes,1,0,3,Yes,Yes,5,Credit,104.4,2692.0,3966.0,-1275.0
24,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,121.1,2876.0,2906.0,-30.69
54,high,Jakarta,Mid End,Yes,Yes,No,Yes,1,0,3,Yes,Yes,5,Debit,107.2,5390.0,5788.0,-394.2
2,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.44,3472.0,182.9,3290.0
7,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,96.0,3214.0,672.0,2542.0
2,low,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Digital Wallet,104.75,3488.0,209.5,3278.0
68,high,Jakarta,Mid End,No,Yes,Yes,No,1,0,2,Yes,Yes,4,Debit,98.56,6372.0,6700.0,-326.8
43,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,136.0,6824.0,5850.0,978.0
63,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,134.4,5656.0,8470.0,-2810.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,117.5,5404.0,235.0,5170.0
4,medium,Jakarta,High End,No,Yes,Yes,No,1,0,2,No,No,2,Debit,110.25,6420.0,441.0,5980.0
21,high,Jakarta,Mid End,Yes,No,No,Yes,1,0,2,No,No,2,Pulsa,54.47,6212.0,1144.0,5068.0
10,medium,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Debit,104.3,4676.0,1043.0,3634.0
27,high,Jakarta,Mid End,Yes,No,No,No,1,0,1,No,No,1,Credit,39.97,3806.0,1079.0,2726.0
5,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Debit,125.44,6996.0,627.0,6372.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,111.4,5040.0,222.8,4820.0
25,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Debit,136.4,4736.0,3410.0,1324.0
1,low,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Digital Wallet,65.9,3160.0,65.9,3094.0
1,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Credit,118.1,4452.0,118.1,4332.0
11,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.94,7656.0,285.2,7370.0
55,high,Jakarta,High End,No,Yes,Yes,No,1,0,2,No,No,2,Pulsa,111.06,7150.0,6108.0,1043.0
34,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Credit,96.1,7532.0,3268.0,4264.0
69,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Credit,129.2,5224.0,8920.0,-3694.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.88,4356.0,25.88,4332.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.48,4484.0,25.48,4456.0
3,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,105.75,3664.0,317.2,3346.0
22,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Pulsa,108.3,4944.0,2382.0,2562.0
1,low,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Debit,97.9,6372.0,97.9,6276.0
61,high,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.22,5490.0,1538.0,3948.0
12,high,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Debit,59.03,3754.0,708.0,3044.0
60,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,137.6,5336.0,8264.0,-2924.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,90.44,3630.0,90.44,3540.0
28,high,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,105.4,6760.0,2950.0,3812.0
4,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,131.5,5744.0,526.0,5216.0
7,medium,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,129.8,2640.0,908.0,1732.0
13,high,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,72.75,5850.0,945.5,4900.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,71.5,6340.0,71.5,6268.0
1,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,97.1,7776.0,97.1,7676.0
24,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,104.3,5744.0,2504.0,3240.0
5,medium,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Pulsa,124.94,5450.0,624.5,4824.0
15,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Debit,89.7,7372.0,1346.0,6028.0
48,high,Jakarta,Mid End,Yes,No,Yes,No,1,0,2,No,Yes,3,Debit,58.88,6404.0,2826.0,3578.0
8,medium,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Pulsa,108.6,3742.0,869.0,2874.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,96.6,3658.0,96.6,3562.0
2,low,Jakarta,High End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,96.75,5540.0,193.5,5348.0
22,high,Jakarta,Mid End,No,Yes,Yes,No,1,0,2,No,Yes,3,Debit,56.88,4028.0,1251.0,2778.0
5,medium,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,37.0,5330.0,184.9,5144.0
12,high,Jakarta,High End,Yes,Yes,Yes,No,1,0,3,No,Yes,4,Debit,129.6,3300.0,1555.0,1744.0
20,high,Jakarta,High End,No,Yes,Yes,No,1,0,2,No,Yes,3,Pulsa,122.3,3466.0,2446.0,1019.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Pulsa,122.44,4828.0,244.9,4584.0
6,medium,Jakarta,High End,No,No,No,No,0,0,0,Yes,No,1,Pulsa,104.6,6540.0,628.0,5910.0
5,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,96.6,6856.0,483.2,6372.0
40,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Debit,136.2,4540.0,5450.0,-910.0
27,high,Jakarta,High End,Yes,No,No,No,1,0,1,No,No,1,Debit,97.75,5870.0,2640.0,3232.0
23,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Debit,98.25,2750.0,2260.0,489.0
34,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.1,3338.0,4424.0,-1084.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,110.5,7384.0,110.5,7270.0
10,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Debit,111.9,3856.0,1119.0,2738.0
13,high,Jakarta,Mid End,Yes,No,No,Yes,1,0,2,Yes,No,3,Credit,59.22,6310.0,770.0,5544.0
39,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Digital Wallet,112.2,4372.0,4376.0,-2.21
32,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Debit,104.44,7770.0,3342.0,4424.0
35,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.4,3568.0,4560.0,-994.0
56,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Credit,130.4,6720.0,7300.0,-581.0
12,high,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,24.7,4596.0,296.5,4300.0
1,low,Jakarta,High End,Yes,No,No,No,1,0,1,No,No,1,Digital Wallet,97.9,4216.0,97.9,4120.0
4,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,No,2,Pulsa,115.94,7550.0,463.8,7090.0
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,111.44,6344.0,111.44,6230.0
12,high,Jakarta,Mid End,Yes,No,Yes,No,1,0,2,Yes,No,3,Digital Wallet,80.1,7372.0,961.5,6410.0
65,high,Jakarta,High End,Yes,No,Yes,Yes,1,0,3,No,Yes,4,Debit,136.9,5456.0,8900.0,-3438.0
9,medium,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,38.94,3344.0,350.5,2994.0
9,medium,Jakarta,Mid End,Yes,Yes,Yes,No,1,0,3,Yes,No,4,Digital Wallet,84.5,5176.0,760.5,4416.0
7,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Debit,26.0,5824.0,182.0,5640.0
49,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Credit,117.06,6576.0,5736.0,840.5
43,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,Yes,Yes,5,Debit,144.0,3546.0,6190.0,-2644.0
65,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,137.1,7436.0,8910.0,-1479.0
56,high,Jakarta,High End,Yes,No,Yes,Yes,1,0,3,No,Yes,4,Debit,135.9,8148.0,7612.0,537.0
10,medium,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,110.8,4644.0,1108.0,3536.0
43,high,Jakarta,Mid End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,73.0,2798.0,3138.0,-341.2
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,116.44,6496.0,116.44,6380.0
20,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,122.94,7284.0,2458.0,4828.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,59.4,2984.0,59.4,2924.0
2,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Pulsa,116.4,2684.0,232.8,2452.0
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Debit,90.44,3738.0,271.2,3468.0
1,low,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Digital Wallet,97.0,5016.0,97.0,4920.0
8,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Pulsa,25.55,7060.0,204.4,6856.0
2,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.81,3070.0,51.62,3018.0
4,medium,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,31.53,2650.0,126.1,2524.0
2,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.56,3020.0,181.1,2838.0
4,medium,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,59.34,3724.0,237.4,3486.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,97.56,6290.0,97.56,6190.0
52,high,Jakarta,Mid End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,63.9,7276.0,3322.0,3954.0
2,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,45.12,4090.0,90.25,4000.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,104.0,2660.0,104.0,2556.0
2,low,Jakarta,Mid End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,64.0,4516.0,128.0,4388.0
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Credit,97.6,6456.0,293.0,6160.0
3,low,Jakarta,Mid End,No,No,Yes,No,1,0,1,No,No,1,Pulsa,65.2,4256.0,195.6,4060.0
25,high,Jakarta,High End,Yes,Yes,No,No,1,0,2,No,No,2,Debit,103.8,5896.0,2596.0,3300.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.42,4624.0,25.42,4596.0
4,medium,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,111.75,7332.0,447.0,6884.0
3,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.97,3184.0,176.9,3008.0
33,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,122.9,5630.0,4054.0,1579.0
30,high,Jakarta,High End,Yes,Yes,Yes,No,1,0,3,No,No,3,Credit,119.2,3226.0,3576.0,-349.8
45,high,Jakarta,High End,No,No,Yes,No,1,0,1,Yes,No,2,Pulsa,113.44,6850.0,5104.0,1746.0
10,medium,Jakarta,High End,Yes,No,No,Yes,1,0,2,No,Yes,3,Pulsa,128.1,4756.0,1281.0,3474.0
20,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,128.1,7076.0,2562.0,4516.0
15,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Debit,111.7,4652.0,1675.0,2978.0
22,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,116.0,4108.0,2552.0,1557.0
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.4,3950.0,274.2,3676.0
15,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,121.4,6844.0,1820.0,5024.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.88,5524.0,25.88,5496.0
5,medium,Jakarta,High End,Yes,No,Yes,No,1,0,2,No,Yes,3,Digital Wallet,115.56,5664.0,578.0,5084.0
33,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,124.56,5410.0,4108.0,1299.0
2,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,106.6,3966.0,213.2,3754.0
2,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.97,4520.0,117.94,4404.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,Yes,No,1,Pulsa,67.9,5380.0,67.9,5310.0
46,high,Jakarta,High End,Yes,Yes,Yes,Yes,1,1,4,No,Yes,5,Pulsa,143.0,3124.0,6576.0,-3454.0
62,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,125.75,6520.0,7800.0,-1277.0
10,medium,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Pulsa,128.0,6740.0,1280.0,5460.0
6,medium,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Pulsa,110.94,6104.0,665.5,5436.0
40,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,131.8,3348.0,5268.0,-1919.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.44,3954.0,90.44,3864.0
58,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Debit,134.2,7936.0,7784.0,151.5
70,high,Jakarta,High End,Yes,No,No,Yes,1,0,2,Yes,Yes,4,Credit,135.2,5908.0,9464.0,-3556.0
2,low,Jakarta,High End,No,No,Yes,No,1,0,1,No,Yes,2,Digital Wallet,112.06,3860.0,224.1,3636.0
21,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,Yes,Yes,5,Pulsa,144.5,5360.0,3036.0,2324.0
16,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,No,3,Credit,116.3,4804.0,1861.0,2944.0
7,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Debit,124.25,4244.0,870.0,3374.0
60,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,No,3,Pulsa,118.25,5344.0,7096.0,-1750.0
50,high,Jakarta,High End,Yes,Yes,No,Yes,1,0,3,Yes,Yes,5,Pulsa,141.1,5556.0,7056.0,-1500.0
4,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,102.5,6892.0,410.0,6480.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,57.72,4580.0,57.72,4520.0
55,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.0,7384.0,7150.0,232.8
12,high,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Debit,25.73,3448.0,309.0,3140.0
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,116.9,7736.0,116.9,7620.0
62,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.2,7280.0,8070.0,-792.0
1,low,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,66.06,4830.0,66.06,4770.0
20,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,95.75,7604.0,1915.0,5690.0
3,low,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,123.6,7620.0,371.0,7250.0
22,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Credit,123.06,4764.0,2706.0,2058.0
4,medium,Jakarta,High End,No,No,Yes,No,1,0,1,Yes,No,2,Digital Wallet,104.75,4004.0,419.0,3584.0
